frame,read_ms,preprocess_ms,inference_ms,postprocess_ms,total_ms
904,13.853,4.472,8.106,3.351,29.782
905,100.366,3.726,7.939,2.115,114.146
906,12.172,4.663,8.106,2.93,27.871
907,57.274,4.657,8.182,2.136,72.248
908,18.686,4.668,8.46,5.078,36.893
909,162.985,8.531,9.727,3.322,184.565
910,12.25,8.377,8.385,4.518,33.529
911,89.948,4.84,8.264,4.841,107.894
912,21.57,9.908,11.268,4.624,47.369
913,139.339,4.659,8.117,2.913,155.027
914,22.441,7.999,9.443,6.829,46.712
915,54.33,4.243,8.033,3.031,69.638
916,110.596,8.109,10.802,4.615,134.122
917,143.723,8.635,10.918,4.632,167.907
918,36.006,8.188,10.991,4.585,59.77
919,78.831,8.581,10.892,5.018,103.322
920,51.383,8.346,11.14,5.814,76.682
921,161.687,8.374,10.206,2.63,182.897
922,23.797,8.862,11.367,4.46,48.487
923,98.454,8.001,10.956,4.169,121.58
924,21.09,8.524,10.183,2.358,42.156
925,197.816,4.296,8.065,2.675,212.852
926,23.53,6.434,11.512,5.121,46.597
927,58.567,4.55,9.426,3.287,75.829
928,117.127,4.866,8.202,3.055,133.25
929,32.708,6.592,11.838,4.966,56.104
930,123.085,4.351,8.123,2.671,138.23
931,20.991,10.473,10.174,2.938,44.576
932,106.15,9.451,10.498,4.651,130.749
933,135.402,6.69,11.143,4.739,157.974
934,38.312,8.611,11.225,4.796,62.943
935,87.318,6.411,11.373,6.816,111.918
936,31.558,6.519,11.195,2.472,51.744
937,205.581,4.453,8.151,2.639,220.824
938,23.101,8.766,11.426,4.56,47.852
939,94.278,7.851,11.135,4.638,117.901
940,33.68,10.674,8.506,4.557,57.418
941,181.358,5.227,9.212,3.112,198.909
942,21.767,5.682,10.232,4.672,42.352
943,99.201,7.789,11.219,2.597,120.806
944,24.212,6.711,11.11,7.88,49.913
945,136.407,7.441,8.232,4.154,156.233
946,43.215,8.742,10.907,4.626,67.491
947,65.495,8.353,11.372,4.688,89.908
948,42.533,5.519,8.236,3.169,59.457
949,181.671,4.732,8.182,2.998,197.583
950,24.264,7.684,9.417,3.665,45.03
951,66.883,6.766,8.606,3.066,85.32
952,74.911,8.554,12.6,8.711,104.776
953,63.475,6.953,9.679,3.192,83.299
954,48.612,4.732,8.219,3.113,64.676
955,19.474,4.736,8.174,2.855,35.24
956,44.389,4.581,8.116,2.67,59.756
957,89.786,4.568,8.228,2.441,105.024
958,13.121,4.668,8.147,2.869,28.804
959,55.496,4.607,8.245,2.581,70.93
960,13.366,4.458,8.12,2.663,28.607
961,103.429,3.803,8.007,2.333,117.571
962,13.891,4.796,8.227,2.977,29.893
963,49.796,4.829,8.25,2.982,65.857
964,17.139,4.579,8.163,2.759,32.639
965,99.574,3.698,7.981,1.975,113.229
966,11.912,4.565,8.152,2.91,27.539
967,50.75,4.783,8.216,2.421,66.169
968,13.754,4.503,8.115,2.833,29.205
969,107.362,3.813,8.015,2.19,121.38
970,12.454,6.566,8.32,3.206,30.546
971,84.084,4.089,8.021,2.194,98.389
972,12.069,4.814,8.149,2.92,27.951
973,98.942,3.759,7.948,2.139,112.788
974,11.909,4.573,8.194,2.886,27.562
975,51.919,4.569,8.214,2.691,67.393
976,14.05,4.745,8.065,2.868,29.728
977,116.229,3.577,8.03,2.33,130.166
978,11.818,4.669,8.203,3.009,27.699
979,52.825,4.699,8.206,3.137,68.868
980,12.88,4.767,8.089,2.909,28.645
981,101.946,3.594,7.977,2.278,115.794
982,11.794,4.66,8.196,2.815,27.465
983,51.516,4.775,8.242,2.102,66.636
984,13.966,4.638,8.122,2.708,29.433
985,105.609,3.766,7.96,2.385,119.72
986,12.497,4.327,8.087,2.865,27.776
987,56.421,4.716,8.152,3.087,72.377
988,44.361,4.665,8.101,2.94,60.067
989,75.506,4.634,8.19,2.819,91.15
990,14.453,4.624,8.072,2.541,29.69
991,50.412,4.65,8.164,2.429,65.655
992,13.713,4.38,8.099,2.87,29.061
993,95.477,3.698,7.973,2.191,109.34
994,12.197,4.615,8.145,3.081,28.038
995,55.883,4.785,8.254,2.051,70.973
996,13.51,4.52,8.264,2.738,29.032
997,37.498,4.558,7.948,2.595,52.598
998,89.619,4.483,8.161,2.845,105.108
999,11.898,4.471,8.134,2.803,27.305
1000,70.056,3.581,7.972,2.207,83.817
1001,15.307,4.206,8.166,2.927,30.606
1002,51.541,4.597,8.075,2.664,66.877
1003,64.962,4.464,8.179,2.986,80.591
1004,26.34,4.628,8.121,2.796,41.884
1005,49.057,9.204,11.158,2.96,72.379
1006,24.521,4.598,8.21,2.839,40.168
1007,91.519,3.661,8.005,2.646,105.831
1008,11.821,4.452,8.138,2.687,27.097
1009,51.216,4.482,8.247,2.934,66.878
1010,13.654,4.158,8.035,2.692,28.538
1011,96.594,3.697,8.023,2.147,110.461
1012,12.055,4.461,8.12,2.759,27.395
1013,51.079,4.683,8.154,2.551,66.468
1014,10.664,4.596,8.055,2.752,26.066
1015,115.982,3.796,7.958,2.352,130.087
1016,12.82,4.305,8.089,3.007,28.221
1017,53.111,4.467,8.178,2.542,68.298
1018,13.624,4.72,8.064,2.846,29.253
1019,102.247,3.56,7.998,2.042,115.847
1020,12.667,4.409,8.121,2.81,28.008
1021,52.749,4.707,8.202,2.032,67.69
1022,14.067,4.494,8.028,11.948,38.537
1023,107.462,3.76,8.013,2.192,121.427
1024,12.282,4.551,8.408,2.871,28.113
1025,50.028,4.571,8.167,2.893,65.66
1026,15.074,4.481,8.098,2.892,30.545
1027,96.321,3.695,7.998,2.083,110.097
1028,11.896,4.734,8.174,3.006,27.81
1029,54.895,4.62,8.302,2.582,70.399
1030,13.695,4.708,8.056,2.835,29.293
1031,94.204,3.71,7.969,2.225,108.109
1032,12.171,4.741,8.159,2.962,28.034
1033,50.697,4.529,8.163,2.495,65.884
1034,13.884,4.57,8.126,2.743,29.324
1035,111.447,3.887,8.048,2.233,125.615
1036,11.917,4.502,8.125,2.962,27.507
1037,54.196,4.677,8.214,1.975,69.061
1038,13.672,4.166,8.053,2.819,28.711
1039,109.25,4.536,8.23,2.595,124.611
1040,13.25,4.335,8.114,2.804,28.504
1041,50.842,4.536,8.214,2.103,65.695
1042,14.023,4.667,8.114,2.929,29.733
1043,100.827,3.735,7.997,2.226,114.785
1044,12.343,4.675,8.146,2.809,27.974
1045,57.708,4.834,8.23,2.234,73.006
1046,14.192,4.616,8.07,2.765,29.644
1047,103.888,3.615,8.076,2.401,117.98
1048,12.189,4.375,8.07,2.708,27.341
1049,59.413,4.873,8.208,2.263,74.758
1050,14.079,4.547,8.103,2.948,29.678
1051,107.141,3.799,8.109,2.185,121.235
1052,12.042,4.824,8.13,2.809,27.804
1053,53.774,4.597,8.184,2.206,68.761
1054,14.038,7.462,8.136,2.837,32.473
1055,108.986,3.596,7.966,2.057,122.605
1056,18.758,11.125,14.173,7.069,51.126
1057,37.983,4.59,8.129,2.876,53.578
1058,27.931,4.63,8.12,2.765,43.447
1059,98.78,3.73,7.991,2.206,112.707
1060,12.225,4.421,8.061,2.749,27.455
1061,56.786,4.53,8.194,2.943,72.453
1062,15.926,4.693,8.175,2.721,31.515
1063,102.111,3.706,7.955,2.065,115.837
1064,12.316,4.593,8.16,2.938,28.006
1065,56.726,4.629,8.216,2.333,71.905
1066,13.46,4.362,8.134,2.781,28.737
1067,103.962,3.675,7.954,2.048,117.639
1068,11.985,4.515,8.079,2.89,27.469
1069,52.746,4.519,8.251,2.277,67.793
1070,24.893,5.455,8.217,2.933,41.498
1071,92.602,3.849,7.967,2.349,106.767
1072,15.144,4.326,8.068,2.635,30.173
1073,76.334,4.759,8.08,2.3,91.472
1074,14.542,4.566,8.037,2.758,29.903
1075,113.032,3.911,8.014,2.057,127.015
1076,11.832,4.466,8.12,2.962,27.38
1077,54.924,4.77,8.23,2.164,70.088
1078,13.757,4.328,8.078,2.798,28.961
1079,104.699,3.575,7.995,2.136,118.405
1080,11.837,4.606,8.122,2.715,27.28
1081,54.75,4.744,8.136,2.0,69.629
1082,14.148,4.532,8.06,2.806,29.545
1083,107.668,3.64,7.983,2.223,121.513
1084,11.712,4.401,8.155,2.915,27.183
1085,53.927,4.729,8.866,2.206,69.729
1086,14.053,4.684,8.054,2.893,29.683
1087,104.242,3.708,7.965,2.171,118.086
1088,11.936,4.562,8.089,2.926,27.513
1089,52.858,4.54,8.228,4.692,70.318
1090,20.091,4.764,8.136,3.375,36.366
1091,116.619,3.787,8.026,2.177,130.61
1092,12.295,4.561,8.133,2.961,27.951
1093,51.998,4.744,8.233,2.431,67.406
1094,14.298,4.735,8.089,2.847,29.968
1095,110.579,3.667,8.125,2.267,124.638
1096,12.017,4.433,8.174,2.767,27.391
1097,50.94,4.204,8.225,2.103,65.473
1098,13.625,4.503,8.073,2.718,28.919
1099,107.849,3.698,8.034,2.168,121.748
1100,11.997,4.509,8.101,2.838,27.445
1101,51.26,4.751,8.258,2.479,66.748
1102,12.225,4.634,8.062,2.757,27.677
1103,112.938,3.654,7.948,2.113,126.653
1104,11.396,4.453,8.178,2.629,26.656
1105,51.551,4.362,8.21,2.646,66.768
1106,13.669,4.281,8.048,2.721,28.719
1107,124.553,3.698,7.983,2.17,138.404
1108,11.797,6.057,8.778,3.605,30.237
1109,52.048,4.636,8.285,2.655,67.625
1110,13.685,4.745,8.15,2.997,29.576
1111,99.451,3.808,7.975,2.197,113.431
1112,12.734,4.607,8.268,2.949,28.559
1113,50.764,4.556,8.209,3.119,66.649
1114,14.365,4.603,8.165,2.825,29.959
1115,135.319,4.601,8.243,3.196,151.36
1116,84.97,4.427,8.095,2.712,100.203
1117,24.157,6.454,8.214,2.814,41.638
1118,146.223,9.419,8.254,3.289,167.185
1119,24.012,8.361,10.984,4.619,47.977
1120,142.337,4.652,8.088,2.696,157.773
1121,24.116,8.163,11.098,4.71,48.087
1122,95.414,8.4,11.313,4.964,120.091
1123,142.311,6.678,12.903,4.677,166.569
1124,34.285,7.526,9.815,3.363,54.988
1125,86.419,4.121,8.015,2.646,101.2
1126,25.099,7.396,11.276,4.618,48.388
1127,163.25,7.85,11.141,4.609,186.849
1128,39.426,7.787,11.056,4.621,62.889
1129,76.261,7.76,11.225,4.709,99.955
