frame,preprocess_ms,inference_ms,postprocess_ms,total_ms
1240,2.782,17.375,2.349,22.507
1241,4.693,25.621,2.659,32.972
1242,3.897,15.933,1.909,21.739
1243,2.752,18.653,1.909,23.314
1244,2.951,15.849,1.961,20.762
1245,3.041,13.933,2.039,19.013
1246,2.949,14.004,3.638,20.591
1247,3.782,18.66,2.313,24.756
1248,3.082,20.031,2.362,25.475
1249,2.91,15.715,1.907,20.531
1250,2.722,13.94,2.001,18.663
1251,2.653,14.707,1.881,19.241
1252,2.684,15.616,2.215,20.514
1253,2.789,14.803,2.202,19.794
1254,3.323,13.791,1.846,18.961
1255,2.789,13.374,1.805,17.968
1256,2.68,13.31,1.782,17.773
1257,2.698,13.27,1.763,17.731
1258,2.673,15.344,2.236,20.254
1259,2.955,15.677,1.853,20.485
1260,2.762,13.914,1.849,18.525
1261,2.682,13.859,1.864,18.406
1262,2.7,15.056,1.836,19.592
1263,2.682,14.283,1.828,18.792
1264,2.918,13.772,1.834,18.524
1265,2.766,14.103,1.828,18.697
1266,2.735,13.868,1.846,18.449
1267,2.758,13.84,1.821,18.42
1268,2.758,13.71,1.811,18.279
1269,2.947,13.79,1.84,18.577
1270,2.809,13.896,2.075,18.781
1271,2.689,13.95,1.838,18.477
1272,2.793,14.403,2.007,19.203
1273,2.748,13.727,1.83,18.305
1274,2.634,13.666,1.83,18.13
1275,2.795,13.804,1.799,18.397
1276,2.662,13.593,1.821,18.076
1277,2.636,13.57,1.997,18.203
1278,2.719,13.679,1.795,18.193
1279,2.669,13.665,1.787,18.121
1280,2.684,14.128,3.291,20.104
1281,3.109,15.662,2.125,20.897
1282,3.385,14.273,1.832,19.489
1283,2.682,13.617,2.199,18.498
1284,2.671,13.221,1.77,17.662
1285,2.685,13.237,1.789,17.711
1286,3.014,16.184,2.163,21.361
1287,3.12,15.517,1.821,20.459
1288,2.722,13.59,1.774,18.086
1289,2.635,13.265,1.78,17.68
1290,2.658,13.201,1.781,17.64
1291,2.636,13.199,1.748,17.584
1292,2.699,13.696,1.793,18.188
1293,2.702,13.407,2.824,18.934
1294,3.716,17.196,2.16,23.072
1295,3.1,15.296,2.066,20.462
1296,2.915,17.155,2.44,22.509
1297,3.085,16.713,2.003,21.801
1298,2.864,13.993,3.63,20.487
1299,2.825,16.289,1.886,21.0
1300,2.706,13.643,1.829,18.178
1301,2.668,13.906,1.863,18.437
1302,2.981,13.855,1.835,18.67
1303,2.8,13.937,1.85,18.587
1304,2.916,13.76,1.818,18.493
1305,2.694,13.515,1.8,18.009
1306,2.744,13.546,1.817,18.107
1307,2.75,13.66,1.94,18.35
1308,2.773,13.56,1.841,18.174
1309,2.692,13.983,1.816,18.492
1310,2.662,13.336,1.785,17.783
1311,2.694,13.295,1.832,17.822
1312,2.663,13.707,2.393,18.763
1313,2.898,17.597,3.243,23.738
1314,2.931,16.963,2.453,22.347
1315,2.986,17.343,2.343,22.673
1316,2.987,20.086,2.452,25.525
1317,3.085,19.491,3.399,25.975
1318,2.876,18.277,1.909,23.062
1319,3.01,14.252,1.883,19.144
1320,2.834,13.895,1.881,18.61
1321,2.846,17.569,1.922,22.338
1322,2.792,16.179,1.988,20.959
1323,2.993,14.628,1.994,19.616
1324,2.929,13.942,1.916,18.787
1325,2.684,13.851,1.898,18.432
1326,3.724,20.076,2.198,25.998
1327,3.085,19.571,2.558,25.214
1328,2.974,19.028,2.476,24.478
1329,3.084,20.365,2.395,25.844
1330,2.919,18.831,3.803,25.553
1331,2.995,19.203,2.293,24.491
1332,2.857,19.04,2.373,24.27
1333,2.855,19.282,2.548,24.685
1334,3.04,22.329,3.195,28.564
1335,3.237,18.842,2.541,24.621
1336,3.555,17.94,2.555,24.05
1337,2.837,19.287,2.755,24.879
1338,2.859,20.238,2.64,25.737
1339,2.864,16.499,2.116,21.479
1340,2.9,12.559,1.602,17.062
1341,2.703,12.148,1.735,16.586
1342,2.568,10.613,1.542,14.723
1343,2.712,10.822,1.478,15.012
1344,2.391,10.433,1.475,14.3
1345,2.407,15.863,2.372,20.642
1346,2.975,21.929,2.965,27.869
1347,2.826,10.878,1.476,15.18
1348,2.5,10.585,1.488,14.574
1349,2.371,10.097,1.461,13.929
1350,2.427,10.183,1.433,14.044
1351,2.414,10.413,1.492,14.319
1352,2.378,10.928,1.4,14.706
1353,2.575,10.081,1.39,14.047
1354,2.411,10.085,1.398,13.894
1355,2.389,10.023,1.458,13.871
1356,2.304,10.311,1.411,14.026
1357,2.413,9.943,1.479,13.835
1358,2.39,10.101,1.457,13.948
1359,2.517,10.387,1.482,14.385
1360,2.535,10.798,1.456,14.79
1361,2.471,10.141,1.426,14.038
1362,2.344,10.316,1.411,14.07
1363,2.366,10.275,1.458,14.098
1364,2.435,10.66,1.458,14.554
1365,2.574,10.284,1.533,14.391
1366,2.425,12.511,1.53,16.467
1367,2.528,10.195,1.428,14.151
1368,2.436,10.174,1.793,14.403
1369,2.579,10.592,1.573,14.745
1370,2.627,10.325,1.456,14.408
1371,2.415,10.168,1.411,13.994
1372,2.366,10.134,1.409,13.909
1373,2.454,10.305,1.454,14.213
1374,2.517,10.213,1.589,14.319
1375,2.679,10.453,1.499,14.631
1376,2.55,10.413,1.48,14.443
1377,2.37,10.078,1.457,13.904
1378,2.68,10.667,1.71,15.057
1379,2.683,10.797,1.518,14.998
1380,2.726,10.672,1.625,15.024
1381,2.557,10.808,1.491,14.856
1382,2.573,10.979,1.476,15.028
1383,2.576,10.482,1.677,14.735
1384,2.695,12.439,2.1,17.234
1385,2.961,14.739,1.621,19.321
1386,2.644,10.589,1.454,14.687
1387,2.502,10.17,1.452,14.124
1388,2.497,10.09,1.428,14.016
1389,2.462,10.099,1.418,13.98
1390,2.678,10.466,1.441,14.585
1391,2.513,10.521,1.677,14.71
1392,2.438,10.38,1.421,14.239
1393,2.448,10.491,1.422,14.361
1394,2.351,11.866,1.459,15.677
1395,2.35,10.048,1.411,13.81
1396,2.544,10.309,1.4,14.253
1397,2.426,10.147,1.392,13.965
1398,2.395,10.218,1.405,14.018
1399,2.383,10.292,1.501,14.176
1400,2.451,10.271,1.501,14.224
1401,2.609,10.329,1.466,14.404
1402,2.406,10.423,1.475,14.304
1403,2.418,10.033,1.423,13.874
1404,2.419,10.159,1.407,13.985
1405,2.417,10.506,1.401,14.324
1406,2.359,10.679,1.469,14.506
1407,2.354,11.117,1.415,14.887
1408,2.42,10.301,1.402,14.122
1409,2.443,11.524,1.59,15.556
1410,2.474,10.218,1.469,14.161
1411,2.532,10.223,1.434,14.189
1412,2.645,10.216,1.421,14.282
1413,2.464,10.539,1.449,14.451
1414,2.524,10.419,1.478,14.421
1415,2.673,20.173,2.374,25.219
1416,3.222,16.33,1.707,21.26
1417,2.701,10.636,1.545,14.882
1418,2.562,10.64,1.49,14.692
1419,2.427,10.73,1.423,14.58
1420,2.427,12.786,1.452,16.666
1421,2.675,10.302,1.412,14.389
1422,2.46,10.111,1.498,14.069
1423,2.504,10.36,1.422,14.287
1424,2.412,10.226,1.409,14.046
1425,2.552,10.208,1.468,14.228
1426,2.478,10.035,1.396,13.909
1427,2.533,10.161,1.398,14.092
1428,2.444,10.337,1.437,14.218
1429,2.441,10.189,1.433,14.063
1430,2.598,10.263,1.477,14.338
1431,2.509,10.448,1.475,14.432
1432,2.425,10.771,1.435,14.631
1433,2.523,10.556,1.471,14.55
1434,2.555,10.322,1.516,14.393
1435,2.498,10.384,1.416,14.298
1436,2.395,10.208,1.526,14.129
1437,2.585,10.174,1.392,14.15
1438,2.467,10.041,1.47,13.977
1439,2.582,10.131,1.394,14.107
1440,2.483,10.022,1.389,13.894
1441,2.463,10.12,1.394,13.977
1442,2.467,10.016,1.401,13.884
1443,2.366,10.132,1.464,13.962
1444,2.391,10.179,1.393,13.963
1445,2.416,10.04,1.387,13.843
1446,2.445,10.27,1.451,14.166
1447,2.489,10.429,1.414,14.332
1448,2.39,10.461,1.442,14.293
1449,2.659,10.877,1.825,15.361
1450,2.816,14.98,1.565,19.361
1451,2.537,10.92,1.625,15.082
1452,2.562,10.197,1.394,14.153
1453,2.455,10.326,1.408,14.189
1454,2.417,10.44,1.424,14.282
1455,2.466,10.099,1.42,13.985
1456,2.4,10.205,1.418,14.023
1457,2.396,10.2,1.43,14.025
1458,2.442,10.039,1.412,13.894
1459,2.36,10.36,1.408,14.128
1460,2.438,10.379,1.455,14.273
1461,2.414,10.212,1.403,14.028
1462,2.403,11.417,1.517,15.337
1463,2.459,10.11,1.394,13.963
1464,2.459,10.1,1.467,14.027
1465,2.333,9.988,1.396,13.717
1466,2.366,9.891,1.38,13.636
1467,2.334,9.982,1.453,13.77
1468,2.41,10.394,1.8,14.604
1469,2.737,10.97,1.395,15.102
1470,2.385,9.899,1.593,13.877
1471,2.45,9.902,1.452,13.804
1472,2.442,10.019,1.395,13.855
1473,2.363,9.926,1.386,13.675
1474,2.328,10.186,1.396,13.91
1475,2.401,10.829,1.674,14.905
1476,2.387,10.398,1.416,14.202
1477,2.371,10.251,1.436,14.059
1478,2.363,11.738,1.435,15.537
1479,2.406,10.324,1.42,14.15
1480,2.444,10.429,1.432,14.305
1481,2.497,10.295,1.501,14.294
