frame,preprocess_ms,inference_ms,postprocess_ms,total_ms
1675,2.29,7.977,2.67,12.938
1676,2.247,8.221,2.788,13.256
1677,2.484,10.669,3.047,16.2
1678,2.5,8.147,2.902,13.549
1679,2.445,8.471,2.872,13.787
1680,2.405,8.6,2.754,13.758
1681,2.307,7.958,2.584,12.849
1682,2.238,8.099,5.302,15.639
1683,2.452,12.302,2.682,17.436
1684,2.307,11.409,2.751,16.467
1685,2.258,10.568,4.808,17.635
1686,2.465,10.405,2.896,15.767
1687,4.131,11.96,4.833,20.925
1688,4.623,10.943,2.803,18.369
1689,2.449,8.268,2.902,13.619
1690,2.482,7.931,2.701,13.114
1691,2.33,7.934,2.721,12.985
1692,2.703,8.953,3.525,15.181
1693,2.861,9.454,2.955,15.271
1694,2.605,9.478,2.732,14.815
1695,2.439,8.33,2.883,13.652
1696,2.605,8.104,2.701,13.409
1697,2.437,8.042,2.631,13.11
1698,2.399,7.947,2.717,13.063
1699,2.285,8.107,2.674,13.066
1700,2.232,8.006,2.72,12.958
1701,2.411,7.958,2.799,13.168
1702,2.316,9.919,3.058,15.292
1703,2.416,8.432,2.594,13.442
1704,2.507,9.834,2.917,15.259
1705,2.455,8.113,2.988,13.556
1706,2.584,8.015,2.732,13.33
1707,2.344,8.072,2.834,13.25
1708,2.399,7.831,2.72,12.949
1709,2.334,9.22,2.808,14.361
1710,2.252,7.809,2.677,12.738
1711,2.291,8.004,2.811,13.106
1712,2.512,8.164,2.865,13.542
1713,2.553,8.081,2.861,13.494
1714,2.386,8.231,2.784,13.401
1715,2.547,8.909,2.765,14.221
1716,2.276,7.899,2.693,12.868
1717,2.387,7.854,2.772,13.012
1718,2.348,7.957,2.821,13.126
1719,2.337,7.851,2.726,12.913
1720,2.203,7.846,2.835,12.884
1721,2.238,7.916,2.726,12.88
1722,2.383,9.91,2.85,15.143
1723,3.068,7.953,2.791,13.811
1724,2.511,8.173,2.891,13.575
1725,2.367,8.162,2.866,13.395
1726,2.485,7.865,2.712,13.062
1727,2.27,8.0,2.697,12.967
1728,2.267,10.456,2.995,15.718
1729,2.648,8.32,2.873,13.841
1730,2.484,7.991,2.736,13.211
1731,2.363,7.776,2.747,12.886
1732,2.137,7.815,2.644,12.596
1733,2.146,7.75,2.723,12.619
1734,2.145,7.808,2.535,12.488
1735,1.975,7.63,2.596,12.201
1736,1.959,7.672,2.497,12.128
1737,1.916,7.64,2.593,12.15
1738,1.969,7.625,2.558,12.152
1739,1.908,7.585,2.64,12.132
1740,2.01,8.623,2.812,13.445
1741,2.119,7.671,2.511,12.3
1742,1.949,7.825,2.627,12.401
1743,2.133,7.757,2.686,12.575
1744,2.126,7.971,2.675,12.772
1745,2.13,9.505,2.483,14.118
1746,2.052,7.697,2.639,12.389
1747,2.036,8.57,4.519,15.126
1748,2.883,11.068,2.751,16.702
1749,2.515,10.735,2.86,16.111
1750,2.255,8.179,2.849,13.284
1751,2.282,8.928,2.349,13.559
1752,2.168,9.188,2.779,14.135
1753,2.6,8.764,2.793,14.157
1754,2.284,8.652,2.997,13.933
