frame,preprocess_ms,inference_ms,postprocess_ms,total_ms
0,3.211,8.625,174.373,186.209
1,8.882,7.904,2.663,19.45
2,10.054,8.172,3.16,21.385
3,3.095,7.994,2.263,13.352
4,2.151,7.98,2.41,12.541
5,2.299,7.99,2.404,12.693
6,2.273,7.986,2.274,12.532
7,2.212,8.031,2.38,12.623
8,2.329,7.97,2.814,13.114
9,2.191,8.991,2.36,13.542
10,2.32,7.92,2.518,12.758
11,2.379,7.922,2.727,13.027
12,2.396,7.938,3.03,13.364
13,2.537,8.045,2.511,13.092
14,2.423,7.914,3.035,13.372
15,2.655,8.0,3.44,14.095
16,2.834,8.985,2.712,14.531
17,2.468,6.579,2.386,11.433
18,2.789,6.594,2.297,11.68
19,2.323,6.307,2.199,10.828
20,2.21,6.274,2.19,10.673
21,2.19,6.301,2.143,10.633
22,2.226,6.267,2.128,10.622
23,2.107,6.308,2.158,10.573
24,2.106,6.294,2.084,10.484
25,2.101,6.293,2.269,10.662
26,2.394,7.61,3.77,13.774
27,3.231,6.394,2.856,12.482
28,2.595,6.297,2.214,11.106
29,2.382,6.573,2.371,11.325
30,2.335,6.2,2.321,10.856
31,2.196,6.439,2.431,11.065
32,2.51,6.742,2.405,11.657
33,2.511,6.199,2.867,11.578
34,2.318,6.234,2.285,10.837
35,2.28,5.435,2.325,10.041
36,2.464,5.366,2.398,10.227
37,2.949,5.988,2.543,11.48
38,2.478,5.421,2.318,10.218
39,2.349,5.353,2.216,9.918
40,2.346,5.42,2.261,10.028
41,2.075,5.351,2.49,9.916
42,2.026,5.429,2.078,9.533
43,1.998,5.427,2.395,9.821
44,1.982,5.386,2.04,9.408
45,1.981,5.235,2.003,9.219
46,1.959,5.237,2.046,9.242
47,1.981,5.37,2.003,9.354
48,1.984,5.237,2.016,9.237
49,2.007,5.283,2.146,9.435
50,2.06,5.261,2.175,9.495
51,2.184,5.263,2.198,9.645
52,2.189,5.294,2.091,9.574
53,2.037,5.261,2.33,9.628
54,2.32,5.24,2.118,9.679
55,2.154,5.034,2.136,9.325
56,2.594,4.812,2.09,9.496
57,2.07,4.798,2.126,8.993
58,2.085,4.756,2.1,8.941
59,2.003,4.784,1.998,8.785
60,1.948,4.735,2.021,8.703
61,2.078,4.749,2.18,9.007
62,2.214,4.833,2.261,9.308
63,2.283,4.824,2.401,9.509
64,2.117,4.834,2.122,9.073
65,2.078,4.778,2.12,8.976
66,2.125,4.836,2.076,9.037
67,2.164,4.733,2.065,8.963
68,1.927,4.717,2.17,8.814
69,1.942,4.705,1.956,8.604
70,2.01,4.778,2.169,8.957
71,1.966,4.739,1.978,8.683
72,1.919,4.722,2.064,8.705
73,2.158,4.75,2.005,8.913
74,2.002,4.717,2.026,8.745
75,1.992,4.73,2.184,8.906
76,2.302,4.745,2.301,9.348
77,2.435,4.804,2.384,9.623
78,2.529,7.549,2.64,12.719
79,2.473,4.506,2.373,9.353
80,2.305,4.473,2.485,9.263
81,2.595,4.43,2.499,9.524
82,2.476,4.464,2.545,9.484
83,2.395,4.429,2.45,9.274
84,2.429,4.438,2.54,9.407
85,2.443,4.453,2.465,9.362
86,2.404,4.461,2.588,9.453
87,2.643,4.478,2.458,9.579
88,2.448,4.433,2.403,9.284
89,2.309,4.474,2.331,9.114
90,2.291,4.5,2.57,9.361
91,2.513,4.461,2.39,9.364
92,2.196,4.455,2.435,9.087
93,2.262,4.456,2.33,9.048
94,2.197,4.572,2.773,9.541
95,2.382,4.656,2.849,9.887
96,2.289,4.602,2.814,9.705
97,2.432,6.577,2.875,11.885
98,2.234,4.562,2.552,9.348
99,2.25,4.475,2.548,9.273
100,2.347,4.719,2.614,9.679
101,2.574,4.514,2.688,9.776
102,2.253,4.53,2.598,9.381
103,2.167,4.546,2.57,9.283
104,2.05,4.539,2.665,9.254
105,3.747,4.54,2.764,11.052
106,2.474,4.545,2.656,9.674
107,2.37,4.576,2.22,9.166
108,2.133,4.403,2.304,8.84
109,2.443,4.741,2.715,9.898
110,2.268,4.522,2.299,9.09
111,2.204,4.645,2.251,9.1
112,2.334,4.706,2.371,9.41
113,2.12,4.372,2.06,8.552
114,2.094,4.403,2.717,9.213
115,2.189,4.54,2.662,9.392
116,2.275,4.535,4.196,11.006
117,2.388,4.568,2.775,9.731
118,2.464,6.049,3.933,12.447
119,2.358,4.514,2.931,9.803
120,2.537,4.732,2.89,10.159
121,2.444,4.927,2.583,9.954
122,2.283,4.517,2.583,9.383
123,2.187,4.542,2.582,9.311
124,2.154,4.501,2.254,8.909
125,2.115,4.528,2.578,9.221
126,2.277,4.486,2.178,8.941
127,2.038,4.647,2.18,8.865
128,2.165,4.404,2.14,8.708
129,2.27,6.494,2.755,11.519
130,2.142,4.764,2.246,9.152
131,2.048,4.646,2.015,8.71
132,2.483,4.722,2.547,9.752
133,2.225,4.366,2.078,8.669
134,2.073,4.551,2.135,8.759
135,2.236,4.375,2.035,8.645
136,2.037,4.39,2.082,8.509
137,2.037,4.43,2.617,9.083
138,2.175,4.601,2.609,9.386
139,2.337,4.568,2.706,9.61
140,2.237,4.545,3.787,10.568
141,2.811,4.603,2.991,10.405
142,2.533,4.434,2.904,9.871
143,2.828,4.442,2.294,9.564
144,2.446,4.519,2.377,9.342
145,2.296,4.456,2.202,8.954
146,2.329,4.442,2.127,8.898
147,2.109,4.509,2.355,8.974
148,2.106,4.51,2.123,8.739
149,2.118,5.221,4.726,12.064
150,2.228,4.555,2.576,9.359
151,2.347,4.923,2.366,9.636
152,2.505,4.737,2.243,9.485
153,2.198,4.369,2.036,8.602
154,1.991,4.381,2.311,8.684
155,2.115,4.353,2.076,8.543
156,2.074,4.378,2.48,8.932
157,2.167,4.44,2.225,8.832
158,2.48,4.462,2.426,9.368
159,2.179,4.413,2.282,8.874
160,2.261,4.398,2.003,8.662
161,2.202,4.658,1.992,8.852
162,1.934,4.47,2.451,8.855
163,2.166,4.587,2.676,9.429
164,2.346,4.508,2.276,9.13
165,2.229,4.418,2.197,8.844
166,2.109,4.395,2.124,8.628
167,2.058,4.396,2.16,8.614
168,2.052,4.447,2.03,8.529
169,1.899,4.379,1.947,8.225
170,1.921,4.382,1.986,8.289
171,1.851,4.329,1.897,8.078
172,1.822,4.355,1.918,8.095
173,1.789,4.39,1.931,8.11
174,1.843,6.265,2.953,11.062
175,1.921,4.359,1.984,8.264
176,1.926,4.361,2.054,8.341
177,1.842,4.369,2.104,8.315
178,1.905,4.353,1.907,8.165
179,1.88,4.378,1.99,8.248
180,1.78,4.331,2.012,8.123
181,1.911,4.368,1.918,8.197
182,1.788,4.348,2.082,8.218
183,1.826,4.35,2.033,8.209
184,1.997,4.367,2.082,8.446
185,2.053,4.323,2.29,8.666
186,1.881,4.261,1.998,8.141
187,1.951,4.294,2.121,8.366
188,2.18,4.323,2.044,8.547
189,2.005,4.342,2.257,8.605
190,2.038,4.308,2.289,8.636
191,2.048,4.312,1.956,8.316
192,1.973,4.334,2.1,8.407
193,2.017,4.318,1.955,8.29
194,2.127,4.266,2.257,8.65
195,2.032,4.236,2.138,8.406
196,2.037,4.255,2.263,8.555
197,2.118,4.295,2.138,8.551
198,2.077,4.241,84.065,90.383
199,13.534,4.378,2.347,20.258
200,13.455,4.244,2.106,19.805
201,1.936,4.306,2.021,8.263
202,1.823,4.242,1.974,8.038
203,1.909,4.298,1.954,8.161
204,1.851,5.588,2.039,9.478
205,1.962,4.319,2.264,8.545
206,2.125,4.257,2.129,8.511
207,2.558,4.329,2.5,9.386
208,2.579,4.277,2.488,9.345
209,2.007,4.279,1.864,8.149
210,1.879,4.247,1.872,7.998
211,1.792,4.164,1.827,7.783
212,1.742,4.218,1.899,7.859
213,1.783,4.266,1.829,7.877
214,1.793,4.181,1.869,7.844
215,1.747,4.158,1.847,7.751
216,1.777,4.196,1.921,7.894
217,1.983,4.274,1.942,8.198
218,1.899,4.256,2.026,8.181
219,2.133,4.23,2.117,8.48
220,2.241,4.244,2.011,8.496
221,2.389,4.238,2.066,8.694
222,1.956,4.234,1.903,8.093
223,1.892,4.219,1.887,7.997
224,1.815,4.22,1.862,7.897
225,1.889,4.19,1.854,7.933
226,1.83,4.258,1.917,8.005
227,1.853,4.252,1.891,7.995
228,1.875,4.222,2.074,8.171
229,1.869,4.187,2.469,8.525
230,3.366,4.189,4.023,11.578
231,1.848,6.201,1.848,9.897
232,3.734,5.659,3.304,12.696
233,2.715,5.558,2.266,10.539
234,1.903,4.219,2.121,8.243
235,1.912,4.195,2.096,8.203
236,2.02,4.243,2.147,8.411
237,2.03,4.266,1.936,8.232
238,1.765,4.272,2.472,8.51
239,1.901,4.276,2.2,8.377
