frame,preprocess_ms,inference_ms,postprocess_ms,total_ms
1616,3.042,8.581,1.849,13.472
1617,2.657,8.531,1.817,13.005
1618,2.683,8.533,1.801,13.017
1619,2.658,8.573,1.899,13.13
1620,2.674,8.597,1.774,13.046
1621,2.661,8.485,1.867,13.014
1622,2.899,8.886,1.82,13.605
1623,2.836,8.493,1.789,13.117
1624,2.67,8.463,1.803,12.936
1625,2.668,8.672,1.77,13.11
1626,2.662,8.406,1.772,12.84
1627,2.657,8.508,1.84,13.005
1628,2.841,10.205,1.91,14.956
1629,2.681,8.811,1.804,13.296
1630,2.657,8.817,1.803,13.277
1631,2.669,8.461,1.814,12.944
1632,2.67,9.53,1.822,14.022
1633,2.673,8.53,1.791,12.994
1634,2.663,13.396,1.842,17.902
1635,2.759,8.558,1.792,13.109
1636,2.668,11.799,1.835,16.302
1637,4.748,11.055,1.798,17.601
1638,4.683,10.756,2.111,17.55
1639,2.813,9.744,1.992,14.55
1640,4.828,10.571,1.963,17.362
1641,2.74,10.643,1.794,15.176
1642,2.776,9.307,1.976,14.059
1643,2.641,9.017,1.898,13.556
1644,2.661,8.844,1.863,13.369
1645,2.748,9.07,2.028,13.847
1646,2.997,10.831,2.551,16.379
1647,2.89,10.441,1.82,15.15
1648,5.927,9.053,2.579,17.558
1649,3.38,9.27,1.821,14.471
1650,2.676,8.818,2.001,13.495
1651,2.673,10.038,2.549,15.261
1652,2.804,12.179,3.919,18.901
1653,3.057,9.294,1.8,14.152
1654,3.243,14.275,2.343,19.862
1655,3.036,14.335,2.281,19.652
1656,2.911,14.306,2.3,19.517
1657,3.874,15.51,3.056,22.44
1658,3.616,14.442,1.888,19.946
1659,2.936,10.249,1.866,15.051
1660,2.886,8.815,1.843,13.545
1661,3.036,12.609,2.313,17.958
1662,2.88,11.904,1.868,16.651
1663,2.547,9.762,2.163,14.471
1664,3.059,12.353,2.322,17.734
1665,2.829,9.131,1.873,13.833
1666,2.889,8.855,1.855,13.599
1667,2.668,11.56,2.312,16.541
1668,2.865,10.884,2.118,15.867
1669,3.061,8.774,1.838,13.673
1670,2.68,8.648,1.821,13.149
1671,2.686,8.574,1.802,13.062
1672,2.738,11.636,2.453,16.828
1673,3.773,11.959,2.279,18.011
1674,2.834,9.836,1.904,14.573
1675,2.705,8.838,1.849,13.391
1676,2.743,8.951,2.017,13.711
1677,2.718,9.155,1.863,13.736
1678,2.722,9.029,1.89,13.641
1679,3.711,12.66,1.657,18.028
1680,3.515,10.487,1.915,15.918
1681,3.12,8.806,1.838,13.763
