frame,read_ms,preprocess_ms,inference_ms,postprocess_ms,draw_write_ms,total_ms
1541,12.697,5.74,17.857,2.506,90.657,129.457
1542,12.73,5.58,17.27,2.344,104.127,142.052
1543,12.614,5.543,17.94,2.47,99.391,137.958
1544,12.664,8.159,21.802,3.01,108.18,153.815
1545,12.683,5.686,18.153,2.348,91.81,130.68
1546,12.841,5.617,16.985,2.495,106.956,144.895
1547,13.305,5.69,17.67,2.39,97.185,136.24
1548,12.459,5.613,16.966,2.489,83.508,121.035
1549,12.72,5.711,18.076,2.459,99.323,138.289
1550,11.782,5.632,17.101,2.494,107.93,144.94
1551,11.275,5.676,17.234,2.749,118.566,155.5
1552,11.475,5.813,17.808,2.438,100.905,138.438
1553,12.543,5.74,17.858,2.617,91.988,130.746
1554,13.024,5.762,17.2,2.446,106.347,144.778
1555,11.902,5.577,17.606,2.555,98.267,135.908
1556,11.228,5.67,17.224,2.432,152.938,189.492
1557,16.369,11.478,36.931,3.559,123.036,191.373
1558,12.917,5.628,15.858,2.14,181.225,217.769
1559,20.125,11.518,37.894,4.328,167.644,241.51
1560,12.623,5.322,16.091,2.518,157.669,194.223
1561,20.677,11.844,32.073,4.225,152.563,221.382
1562,20.78,11.418,32.034,4.226,188.396,256.854
1563,19.209,13.441,38.158,5.36,169.658,245.826
1564,22.007,11.4,39.121,2.236,144.092,218.856
1565,11.382,5.447,15.453,2.271,161.853,196.405
1566,21.039,11.689,40.981,4.344,183.718,261.771
1567,20.244,7.786,28.079,4.498,143.459,204.066
1568,19.072,6.832,30.838,4.359,137.012,198.114
1569,20.03,13.011,29.421,4.173,154.679,221.314
1570,12.059,5.448,15.819,2.317,200.637,236.28
1571,20.467,10.48,39.847,5.435,129.598,205.827
1572,20.662,11.696,44.163,4.789,132.768,214.077
1573,21.774,11.509,36.077,4.33,146.733,220.423
1574,19.702,11.631,39.811,4.557,167.692,243.393
1575,14.152,6.994,21.678,3.107,153.166,199.097
1576,20.828,11.642,26.06,2.306,96.331,157.167
1577,12.392,5.418,16.732,2.308,87.306,124.157
1578,12.598,5.441,17.877,2.51,103.722,142.148
1579,16.577,7.672,31.434,5.667,108.766,170.116
1580,12.167,5.525,16.897,2.339,97.848,134.776
1581,12.651,5.649,17.512,2.427,93.806,132.044
1582,12.508,5.577,16.737,2.373,108.004,145.199
1583,12.975,6.043,17.57,2.473,99.339,138.401
1584,12.669,5.876,17.515,2.351,84.256,122.669
1585,12.332,5.804,17.753,2.465,99.882,138.237
1586,12.961,5.772,17.738,2.232,117.469,156.172
1587,11.462,5.496,17.125,2.373,99.569,136.025
1588,10.822,5.795,17.862,2.386,100.921,137.786
1589,10.885,5.672,17.481,2.384,97.177,133.598
1590,12.827,5.569,16.592,2.368,102.636,139.992
1591,12.411,5.429,16.947,2.405,98.878,136.071
1592,12.27,5.562,17.367,2.327,96.493,134.02
1593,12.799,5.639,17.669,2.369,92.178,130.655
1594,12.95,5.54,20.948,2.423,110.809,152.67
1595,12.482,5.542,16.826,2.343,99.144,136.336
1596,13.212,5.519,17.267,2.301,77.935,116.233
1597,11.769,5.521,17.802,2.697,95.243,133.031
1598,12.681,5.487,16.669,2.219,103.571,140.627
1599,12.471,5.738,17.441,2.442,95.739,133.831
1600,12.561,5.837,17.424,2.326,105.077,143.225
1601,13.572,6.051,22.495,2.788,114.611,159.518
1602,12.859,5.539,16.756,2.355,104.368,141.876
1603,13.971,6.352,17.645,2.478,97.47,137.917
1604,12.541,5.529,17.584,2.474,99.826,137.954
1605,12.322,5.479,17.702,2.294,94.179,131.976
1606,12.643,5.516,16.948,2.31,107.168,144.585
1607,11.294,5.764,17.42,2.481,99.64,136.599
1608,12.135,5.454,17.047,2.361,83.881,120.878
1609,11.919,5.436,16.596,2.279,111.987,148.218
1610,11.091,5.643,17.53,2.433,107.744,144.441
1611,12.554,5.6,17.331,2.356,102.925,140.766
1612,12.619,5.723,17.676,2.505,99.775,138.298
1613,12.903,5.768,18.002,2.328,94.415,133.417
1614,12.424,5.672,18.279,2.476,107.965,146.816
1615,12.473,5.629,17.226,2.382,100.594,138.303
1616,12.384,5.674,17.407,2.319,109.702,147.485
1617,12.557,5.746,17.46,2.448,92.718,130.928
1618,13.21,5.744,16.983,2.48,108.02,146.438
1619,12.462,5.587,17.254,2.451,96.059,133.814
1620,12.757,5.522,17.585,2.341,80.806,119.011
1621,12.796,5.668,18.299,2.532,97.526,136.821
1622,13.161,5.607,17.561,2.309,104.781,143.418
1623,12.613,5.779,18.362,2.426,99.286,138.466
1624,12.595,5.745,17.537,2.354,115.395,153.627
1625,11.926,5.545,18.041,2.419,98.449,136.381
1626,13.799,5.69,17.681,2.389,109.388,148.947
1627,12.061,5.663,18.149,2.391,103.098,141.362
1628,11.357,5.815,18.315,2.441,101.624,139.552
1629,12.505,5.5,17.576,2.494,97.042,135.117
1630,12.982,5.837,17.511,2.263,109.278,147.871
1631,12.347,5.602,17.084,2.369,118.445,155.846
1632,11.498,5.829,17.385,2.487,81.656,118.855
1633,11.268,6.181,18.86,2.304,101.482,140.094
1634,12.765,5.689,16.822,2.45,106.127,143.853
1635,12.581,5.631,17.066,2.382,101.199,138.86
1636,12.584,5.627,18.272,2.695,106.163,145.341
1637,12.874,5.684,17.498,2.407,93.757,132.221
1638,13.699,5.742,17.647,2.277,106.154,145.518
1639,14.586,6.441,21.158,2.539,106.05,150.773
1640,12.582,6.113,18.572,2.336,103.699,143.302
1641,12.669,5.631,17.302,2.435,90.051,128.087
1642,12.45,5.631,17.725,2.347,104.67,142.823
1643,12.605,5.745,18.225,2.654,104.973,144.203
1644,13.107,5.906,18.41,2.578,88.805,128.805
1645,12.995,5.908,17.795,2.662,100.442,139.802
1646,12.706,5.634,17.006,2.319,124.463,162.129
1647,11.452,6.095,28.986,2.429,126.329,175.291
1648,17.722,11.556,40.339,6.722,163.573,239.912
1649,12.33,5.264,16.424,2.203,155.419,191.64
1650,18.815,11.955,38.213,6.366,179.148,254.498
1651,20.698,11.0,33.547,4.308,173.317,242.869
1652,22.672,11.642,32.828,5.913,148.793,221.849
1653,19.738,11.205,32.504,4.617,165.714,233.778
1654,20.75,11.106,32.142,4.234,182.086,250.319
1655,17.926,11.481,39.051,2.403,173.75,244.611
1656,22.822,14.005,37.234,6.747,137.862,218.669
1657,20.558,11.539,33.156,4.297,162.36,231.909
1658,21.621,11.318,29.181,4.151,183.735,250.006
1659,19.946,11.104,29.458,6.241,171.326,238.075
1660,16.784,11.826,35.596,4.335,180.416,248.957
1661,22.768,11.559,23.219,2.534,125.718,185.797
1662,22.801,11.617,43.156,4.848,160.597,243.02
1663,12.332,6.927,15.902,2.22,156.118,193.499
1664,22.976,9.199,29.227,3.625,171.956,236.983
1665,18.121,11.639,23.781,2.461,174.05,230.052
1666,13.17,5.988,21.534,2.407,148.854,191.953
1667,10.853,5.841,18.69,2.481,101.924,139.788
1668,12.603,5.528,17.277,2.325,80.875,118.608
1669,12.88,5.554,18.366,2.599,97.89,137.289
1670,13.475,5.864,17.888,2.323,109.052,148.602
1671,12.705,5.77,17.494,2.393,98.078,136.439
1672,12.487,5.616,17.159,2.333,108.943,146.539
1673,12.658,5.69,18.117,2.453,90.306,129.226
1674,12.836,5.479,17.713,2.269,106.184,144.482
1675,12.851,5.921,18.798,2.553,102.828,142.95
1676,12.952,5.699,18.188,2.415,97.09,136.344
1677,13.103,5.63,19.191,2.327,93.976,134.226
1678,11.052,5.725,18.404,2.321,105.357,142.859
1679,13.012,5.849,18.037,2.49,104.928,144.316
1680,12.487,5.515,20.352,2.438,85.766,126.558
1681,12.303,5.537,16.646,2.289,94.631,131.406
1682,12.554,5.59,17.428,2.461,100.776,138.809
1683,12.488,5.626,17.578,2.341,97.782,135.816
1684,12.611,5.583,17.642,2.415,101.187,139.438
1685,11.016,5.547,18.219,2.445,93.689,130.916
1686,13.278,5.885,16.874,2.354,104.797,143.187
1687,13.016,5.63,17.361,2.675,110.87,149.553
1688,12.644,5.583,17.664,2.399,95.841,134.131
1689,12.659,5.635,18.297,2.479,90.575,129.644
1690,12.732,5.504,17.152,2.305,102.301,139.993
1691,12.53,5.496,17.904,2.397,100.691,139.018
1692,12.449,5.59,17.897,2.694,82.59,121.22
1693,11.304,5.54,17.211,2.342,95.349,131.746
1694,13.101,5.804,17.127,2.352,102.24,140.624
1695,12.946,5.908,26.236,3.446,108.33,156.865
1696,11.389,5.844,19.207,2.567,95.101,134.108
1697,12.998,5.619,17.634,2.379,86.477,125.107
1698,11.244,5.505,17.58,2.327,101.594,138.25
1699,12.354,5.479,20.206,2.952,93.117,134.109
1700,12.517,5.496,16.834,2.364,96.156,133.367
1701,12.652,5.757,17.228,2.406,86.553,124.596
1702,13.811,5.728,16.923,2.31,122.775,161.547
1703,12.342,5.488,18.748,2.361,97.701,136.64
1704,12.76,5.762,17.437,2.281,80.193,118.432
1705,12.662,5.811,17.107,2.308,93.762,131.65
1706,10.853,5.558,17.079,2.311,107.586,143.388
1707,12.675,5.735,17.365,2.474,97.91,136.16
1708,12.718,5.645,17.302,2.326,89.725,127.716
1709,12.513,5.739,17.536,2.522,87.189,125.499
1710,12.744,5.691,17.334,2.266,116.483,154.518
1711,12.555,5.533,17.474,2.33,97.06,134.951
1712,12.502,5.494,16.883,2.284,105.455,142.618
1713,12.52,5.638,17.396,2.3,88.313,126.167
1714,12.841,7.154,17.574,2.307,103.611,143.488
1715,12.431,5.478,17.49,2.387,100.464,138.25
1716,12.37,5.5,17.348,2.324,81.356,118.898
1717,12.465,5.756,17.844,2.402,97.644,136.11
1718,12.814,5.709,18.151,2.535,129.615,168.824
1719,13.542,5.735,17.363,2.326,102.753,141.719
1720,12.997,5.788,17.392,2.368,101.334,139.88
1721,12.212,5.574,17.409,3.027,96.919,135.142
1722,12.52,5.682,17.206,2.242,104.784,142.434
1723,12.824,5.498,16.858,2.273,99.732,137.185
1724,12.718,5.781,17.099,2.399,95.851,133.847
1725,12.373,5.538,16.853,2.318,102.616,139.698
1726,15.036,5.674,17.335,2.352,108.624,149.021
1727,11.631,5.746,17.239,2.369,101.938,138.924
1728,12.898,5.629,17.746,2.425,85.683,124.38
1729,12.17,5.52,17.004,2.343,96.609,133.647
1730,12.812,5.642,18.099,2.43,106.627,145.61
1731,12.318,5.578,16.832,2.47,98.474,135.672
1732,12.356,5.458,16.741,2.458,96.226,133.239
1733,12.074,5.487,16.953,2.383,106.969,143.866
1734,12.566,5.553,16.918,2.251,104.937,142.225
1735,12.69,5.585,17.289,2.376,104.783,142.723
1736,13.292,5.656,18.515,2.508,98.416,138.388
1737,12.231,5.942,16.748,2.317,92.301,129.539
1738,12.475,5.483,17.06,2.248,107.066,144.332
1739,12.044,5.905,18.221,2.336,148.479,186.985
1740,18.794,11.702,38.058,5.426,141.498,215.478
1741,12.201,5.303,15.887,2.19,163.014,198.596
1742,21.918,11.389,32.87,4.178,190.086,260.441
1743,21.702,10.528,31.944,4.2,179.317,247.691
1744,13.886,5.843,25.089,4.2,181.248,230.265
1745,22.739,9.306,35.827,4.535,160.449,232.856
1746,21.413,9.139,32.007,6.176,159.184,227.919
1747,20.485,11.786,32.496,4.236,187.205,256.209
1748,20.022,11.318,29.43,6.432,197.487,264.689
1749,22.164,11.568,23.776,2.564,162.744,222.817
