frame,read_ms,preprocess_ms,inference_ms,postprocess_ms,draw_write_ms,total_ms
2174,12.866,5.621,18.09,2.273,108.24,147.09
2175,12.852,5.529,17.825,2.245,102.207,140.657
2176,11.718,5.646,17.579,2.342,100.148,137.434
2177,12.858,5.898,17.413,2.265,91.867,130.301
2178,13.113,5.717,17.179,0.389,108.32,144.718
2179,12.494,5.535,17.034,2.298,134.444,171.804
2180,19.298,11.297,36.301,6.811,181.37,255.077
2181,17.082,11.63,31.881,0.346,164.02,224.959
2182,23.264,11.384,32.041,4.327,188.726,259.741
2183,18.951,11.742,34.904,4.532,157.935,228.064
2184,21.962,11.141,28.97,4.378,151.687,218.137
2185,16.686,11.175,31.916,4.103,169.443,233.323
2186,18.49,9.068,31.12,4.232,183.189,246.099
2187,19.94,11.914,36.867,4.602,186.584,259.907
2188,26.706,11.756,35.718,4.73,174.54,253.449
2189,19.186,11.56,37.648,3.351,162.723,234.468
2190,20.017,11.296,29.693,4.267,184.432,249.705
2191,21.37,9.224,32.658,2.379,181.516,247.148
2192,19.174,9.137,32.784,0.343,175.032,236.47
2193,24.036,11.785,34.844,2.363,151.64,224.668
2194,19.45,12.204,27.585,0.388,158.46,218.087
2195,20.404,11.639,42.678,0.449,169.74,244.908
2196,12.504,6.154,22.46,3.049,135.908,180.075
2197,12.825,5.566,17.229,2.279,104.746,142.644
2198,11.014,5.673,16.782,2.255,107.918,143.642
2199,12.501,5.598,17.246,2.388,113.952,151.685
2200,24.259,9.221,18.074,2.311,100.303,154.167
2201,12.523,5.694,17.804,2.481,97.25,135.753
2202,13.421,5.412,17.358,2.416,109.412,148.02
2203,12.588,5.495,17.082,2.573,100.868,138.607
2204,12.807,5.87,17.664,2.248,106.462,145.051
2205,12.508,5.517,17.338,2.314,94.497,132.173
2206,12.752,5.786,16.74,2.453,121.34,159.071
2207,12.442,5.524,17.254,2.488,101.586,139.294
2208,12.393,5.435,16.92,2.346,85.633,122.726
2209,12.787,5.617,16.952,2.365,100.49,138.211
2210,12.6,5.536,17.067,2.453,107.337,144.993
2211,12.58,5.359,17.158,2.346,109.483,146.926
2212,12.407,5.646,17.427,2.278,102.148,139.907
2213,12.346,5.587,17.132,2.335,96.288,133.687
2214,12.959,8.501,21.75,2.32,120.71,166.239
2215,12.789,5.839,17.565,2.363,105.53,144.086
2216,12.361,5.407,17.291,2.536,103.78,141.375
2217,12.803,5.586,17.081,2.293,94.754,132.517
2218,12.641,5.6,16.64,2.382,112.501,149.764
2219,11.569,5.512,17.492,2.46,104.868,141.901
2220,12.82,5.553,17.206,2.26,83.186,121.025
2221,12.438,5.648,18.624,3.089,112.117,151.917
2222,12.612,5.451,16.966,2.215,108.995,146.238
2223,13.272,5.884,17.377,2.249,105.702,144.483
2224,12.707,5.62,17.434,2.399,103.372,141.532
2225,12.655,5.547,17.272,2.395,101.6,139.469
2226,14.024,5.458,16.872,2.355,111.948,150.657
2227,13.12,5.793,18.532,2.42,102.069,141.934
2228,12.693,5.593,19.688,2.279,116.4,156.653
2229,12.61,5.517,17.79,2.299,96.234,134.451
2230,12.693,5.829,17.088,2.324,111.045,148.98
2231,13.188,5.718,17.634,2.335,103.905,142.78
2232,12.65,5.5,17.725,2.288,90.059,128.222
2233,12.743,5.618,17.799,2.533,101.177,139.87
2234,12.881,5.591,16.591,2.239,106.15,143.452
2235,12.906,5.384,17.16,4.454,110.676,150.579
2236,21.16,5.53,17.058,2.763,103.738,150.249
2237,12.4,5.532,18.099,2.365,91.657,130.052
2238,13.066,5.565,16.534,2.211,105.625,143.001
2239,12.506,5.57,16.851,2.461,106.876,144.265
2240,12.406,5.532,17.144,2.27,102.316,139.669
2241,13.011,5.43,16.859,2.31,91.909,129.519
2242,13.067,5.439,16.995,2.205,108.762,146.47
2243,12.859,5.674,19.709,3.55,106.278,148.069
2244,12.439,5.45,17.099,2.288,83.92,121.196
2245,12.712,5.816,17.294,2.455,96.457,134.735
2246,13.075,5.584,16.865,2.295,92.394,130.213
2247,12.94,5.844,19.35,2.645,98.505,139.284
2248,12.541,5.327,16.318,2.137,100.561,136.884
2249,12.611,5.643,16.671,2.358,98.879,136.161
2250,12.642,5.419,17.437,2.307,100.123,137.927
2251,18.575,10.249,23.593,2.35,92.756,147.524
2252,12.84,7.881,16.822,2.204,102.135,141.882
2253,12.506,5.461,16.839,2.246,101.146,138.198
2254,12.617,5.831,18.149,2.764,101.081,140.442
2255,12.359,5.512,16.927,2.301,96.041,133.14
2256,12.621,5.426,17.004,2.278,99.67,136.999
2257,12.622,5.801,17.986,2.31,107.647,146.367
2258,12.476,5.644,17.406,2.417,111.402,149.345
2259,12.648,5.526,17.262,2.451,94.479,132.367
2260,12.687,5.561,16.962,2.188,112.57,149.968
2261,12.49,5.659,17.606,2.332,107.14,145.227
2262,12.211,5.473,17.194,2.325,99.133,136.336
2263,12.483,5.556,16.807,2.256,95.337,132.439
2264,13.034,5.504,17.16,2.246,120.76,158.705
2265,12.407,5.394,17.124,2.384,115.816,153.126
2266,12.196,5.544,17.061,2.469,109.274,146.544
2267,13.119,5.832,18.528,2.531,138.676,178.686
2268,16.014,6.348,26.96,6.746,147.687,203.755
2269,19.764,10.419,44.483,4.145,146.21,225.022
2270,22.064,11.51,32.162,4.167,181.875,251.779
2271,25.068,10.178,35.893,5.167,158.105,234.411
2272,19.896,11.103,29.097,4.096,192.45,256.642
2273,21.343,11.266,29.097,4.131,180.952,246.789
2274,19.495,11.181,33.58,3.84,171.163,239.259
2275,21.132,11.548,35.469,2.474,161.597,232.22
2276,17.218,5.727,28.893,2.829,191.097,245.764
2277,22.364,9.258,31.918,4.151,179.615,247.306
2278,13.653,7.401,17.1,2.185,170.124,210.462
2279,21.111,8.614,23.098,2.411,157.162,212.396
2280,21.282,12.25,36.311,4.329,175.718,249.889
2281,19.291,11.321,28.998,4.134,190.188,253.931
2282,22.565,11.595,35.49,8.592,149.173,227.415
2283,22.064,7.151,47.942,6.518,134.711,218.386
2284,20.743,9.768,37.824,6.866,173.104,248.306
2285,19.178,6.128,43.382,4.826,112.399,185.912
2286,12.434,5.479,17.251,2.277,101.736,139.177
2287,12.567,5.587,17.759,2.534,101.986,140.432
2288,12.098,5.633,17.8,2.541,122.08,160.152
2289,12.503,5.504,17.31,2.276,102.277,139.87
2290,12.34,5.545,17.06,0.367,109.293,144.606
2291,12.859,5.631,18.073,2.42,111.956,150.94
2292,12.836,5.702,16.738,2.289,94.264,131.829
2293,13.321,5.951,18.365,0.423,117.469,155.529
2294,13.527,5.895,17.526,0.384,102.627,139.959
2295,12.521,5.606,17.107,0.395,99.441,135.07
2296,13.456,5.814,18.307,2.373,110.969,150.92
2297,12.65,5.48,17.763,0.358,101.85,138.101
2298,12.641,5.365,17.246,2.53,116.639,154.421
2299,12.615,5.587,16.786,0.366,96.07,131.423
2300,12.552,5.797,16.94,0.408,113.403,149.1
2301,13.044,5.599,17.392,0.416,115.01,151.461
2302,11.79,5.894,18.325,0.384,106.18,142.572
2303,12.779,5.69,18.502,2.333,97.801,137.106
2304,12.679,5.624,17.385,0.351,94.807,130.846
2305,13.101,5.626,18.242,0.362,116.683,154.014
2306,14.088,5.943,24.605,0.372,110.552,155.56
2307,12.792,5.637,17.373,0.358,98.336,134.496
2308,18.667,5.799,17.112,0.39,113.739,155.707
2309,12.497,5.713,17.948,2.544,108.403,147.106
2310,13.65,5.772,17.312,2.376,108.267,147.378
2311,12.205,5.752,18.942,2.609,109.522,149.03
2312,12.821,5.968,17.106,2.211,114.838,152.945
2313,14.456,5.518,20.138,0.493,137.708,178.314
2314,12.752,5.507,17.497,2.581,118.469,156.806
2315,10.986,5.587,17.507,2.273,103.408,139.76
2316,13.118,5.685,17.095,2.346,101.53,139.774
2317,12.695,5.777,18.132,2.285,108.897,147.786
2318,12.643,5.761,17.149,2.317,103.179,141.048
2319,14.13,5.465,17.118,2.257,99.2,138.169
2320,23.164,5.579,18.523,2.329,121.114,170.71
2321,12.396,5.657,17.175,2.474,106.351,144.053
2322,12.991,5.399,17.093,2.292,101.743,139.519
2323,12.346,5.422,17.114,2.336,96.897,134.115
2324,12.994,5.79,18.177,2.478,113.464,152.903
2325,13.038,5.606,17.483,2.257,108.704,147.088
2326,13.106,5.977,18.904,2.352,101.458,141.797
2327,12.365,5.653,17.608,2.319,109.214,147.158
2328,13.038,5.767,17.818,2.25,96.744,135.617
2329,10.806,5.569,18.056,2.353,110.54,147.324
2330,12.642,5.755,18.253,2.442,100.764,139.857
2331,13.114,5.579,17.376,2.279,95.391,133.738
2332,13.046,5.525,17.234,2.218,114.319,152.341
2333,12.591,5.487,17.396,2.435,102.337,140.247
2334,12.58,5.468,17.026,2.438,111.963,149.475
2335,12.437,5.603,16.925,2.459,98.379,135.802
2336,12.999,5.37,17.179,2.275,112.481,150.304
2337,12.591,5.419,17.786,2.337,103.213,141.346
2338,12.603,5.702,17.258,2.245,101.762,139.57
2339,12.519,5.634,17.161,2.261,104.415,141.99
2340,12.786,5.697,17.867,2.427,92.798,131.574
2341,12.847,5.416,17.883,2.266,111.672,150.084
2342,13.007,5.448,19.946,2.443,112.303,153.146
2343,12.824,5.711,17.947,2.38,103.447,142.309
2344,12.592,5.41,17.574,2.347,110.979,148.903
2345,12.993,5.49,17.284,2.354,104.178,142.298
2346,12.419,5.534,17.102,2.311,105.877,143.242
2347,19.186,5.816,16.939,0.354,95.918,138.213
2348,12.781,5.518,16.659,2.417,107.335,144.709
2349,13.133,5.583,19.646,2.423,119.088,159.875
2350,12.72,5.62,18.249,2.268,101.693,140.551
2351,13.119,5.556,17.363,2.26,109.806,148.103
2352,13.755,5.955,18.189,2.464,96.549,136.912
2353,13.314,5.904,17.269,2.42,109.661,148.568
2354,12.933,5.891,22.794,4.751,163.413,209.781
2355,19.09,9.475,16.787,2.564,185.845,233.762
2356,20.853,11.403,29.761,6.15,199.507,267.674
2357,20.02,11.193,32.269,4.183,184.613,252.278
2358,20.236,11.124,31.667,4.254,170.334,237.614
2359,20.04,11.295,29.007,4.083,158.829,223.253
2360,25.928,12.198,36.821,4.616,203.144,282.707
2361,18.351,11.676,30.79,2.8,143.619,207.236
2362,12.09,6.953,16.674,2.264,154.188,192.169
2363,19.428,11.183,29.133,5.603,137.959,203.306
2364,19.898,11.266,29.436,4.094,180.321,245.015
2365,22.075,12.646,30.748,6.277,188.392,260.138
2366,22.385,11.325,29.192,3.258,169.926,236.086
2367,22.309,11.14,31.54,4.091,158.334,227.414
2368,21.609,9.547,29.795,4.165,180.494,245.609
2369,22.08,11.212,31.938,4.326,169.466,239.021
2370,19.616,11.647,39.876,6.9,169.73,247.769
2371,14.184,5.564,18.794,3.512,107.895,149.949
2372,12.24,5.533,17.48,2.205,105.26,142.718
2373,12.956,5.372,17.211,2.257,98.821,136.617
2374,11.631,5.659,17.075,2.401,99.714,136.481
2375,12.887,5.583,17.026,2.395,106.811,144.702
2376,12.071,5.613,17.153,2.533,95.624,132.994
2377,12.546,5.469,18.134,2.374,105.349,143.872
