frame,read_ms,preprocess_ms,inference_ms,postprocess_ms,total_ms
2015,25.048,5.566,18.36,0.364,49.338
2016,170.687,5.521,16.325,0.341,192.874
2017,22.353,10.867,32.861,2.357,68.437
2018,110.296,11.59,35.809,0.38,158.075
2019,82.658,20.442,35.637,0.409,139.147
2020,83.374,6.144,18.024,0.423,107.965
2021,103.449,9.4,34.159,0.394,147.401
2022,20.744,11.005,32.049,0.344,64.142
2023,167.223,17.238,20.434,0.352,205.246
2024,29.47,9.185,38.166,2.52,79.341
2025,112.69,11.946,32.797,2.057,159.49
2026,25.07,9.614,42.841,4.444,81.969
2027,111.637,7.494,21.277,0.45,140.857
2028,75.262,5.702,19.818,0.469,101.251
2029,93.628,17.564,30.307,0.424,141.924
2030,33.622,11.307,32.613,0.377,77.919
2031,101.079,9.97,33.655,0.35,145.053
2032,20.984,14.509,36.353,0.369,72.215
2033,97.553,30.51,22.904,0.42,151.387
2034,36.841,11.547,42.565,0.397,91.349
2035,148.083,9.808,16.062,0.364,174.316
2036,21.697,11.934,31.859,0.439,65.929
2037,58.816,5.86,16.874,0.393,81.942
2038,140.716,6.958,16.082,0.371,164.126
2039,22.206,10.95,32.19,0.367,65.713
2040,153.512,9.838,15.998,0.349,179.695
2041,22.433,13.064,33.702,0.351,69.549
2042,112.018,9.806,33.884,2.433,158.141
2043,52.028,11.628,41.789,0.435,105.879
2044,105.505,9.764,21.541,0.445,137.254
2045,29.476,11.403,36.004,0.423,77.306
2046,61.982,11.418,32.859,0.367,106.626
2047,143.61,6.022,22.03,0.859,172.521
2048,58.974,12.663,31.722,0.499,103.859
2049,20.705,11.536,40.739,2.445,75.425
2050,116.212,14.921,18.894,0.585,150.612
2051,33.65,6.247,20.154,0.438,60.488
2052,62.194,5.999,22.922,0.31,91.425
2053,13.924,5.752,22.786,0.42,42.882
2054,83.693,5.757,18.587,0.428,108.465
2055,22.224,5.752,18.471,0.393,46.84
2056,71.897,5.869,14.485,0.326,92.577
2057,13.474,5.492,18.687,0.423,38.075
2058,55.037,5.943,19.668,0.416,81.064
2059,47.031,5.554,18.612,0.416,71.613
2060,40.587,5.498,18.784,0.404,65.273
2061,26.554,9.624,21.494,0.401,58.073
2062,43.49,5.782,17.919,0.402,67.593
2063,62.043,5.589,18.698,1.005,87.335
2064,29.197,5.6,18.009,0.456,53.261
2065,40.088,9.76,18.64,0.405,68.893
2066,31.475,5.644,18.159,0.401,55.679
2067,74.402,5.84,19.107,0.396,99.745
2068,16.755,5.474,26.373,0.398,49.0
2069,66.662,10.145,18.667,0.283,95.757
2070,18.303,5.74,18.244,0.356,42.644
2071,87.075,5.866,17.091,0.3,110.333
2072,13.418,5.744,18.349,0.403,37.914
2073,61.917,5.672,18.973,0.43,86.992
2074,12.839,5.64,17.692,0.571,36.742
2075,87.278,6.767,18.258,0.339,112.642
2076,13.337,5.403,18.685,0.383,37.807
2077,59.292,5.671,18.905,0.451,84.319
2078,13.161,5.415,22.427,0.416,41.419
2079,85.751,10.258,13.647,0.301,109.957
2080,17.709,5.664,18.652,0.381,42.405
2081,50.993,6.216,19.882,0.396,77.486
2082,22.899,5.662,18.36,0.38,47.301
2083,105.444,8.122,14.2,0.305,128.071
2084,11.171,5.602,18.467,2.444,37.683
2085,59.587,5.781,19.512,0.387,85.266
