frame,read_ms,preprocess_ms,inference_ms,postprocess_ms,total_ms
1038,13.488,4.606,12.773,3.067,33.935
1039,94.392,4.107,12.975,2.29,113.764
1040,12.029,4.693,17.255,3.239,37.217
1041,48.356,4.606,13.018,2.378,68.358
1042,13.775,4.411,12.791,3.123,34.101
1043,90.064,3.689,12.472,2.205,108.431
1044,11.438,4.627,14.433,2.989,33.488
1045,44.757,4.781,13.074,2.967,65.579
1046,13.558,4.461,12.89,3.037,33.946
1047,97.155,3.796,12.653,2.242,115.845
1048,11.796,4.429,14.011,3.047,33.283
1049,54.369,5.38,13.81,3.265,76.824
1050,23.238,6.302,12.927,3.194,45.661
1051,93.065,3.943,12.541,2.197,111.746
1052,11.887,4.54,13.81,3.103,33.34
1053,47.135,4.73,13.059,3.072,67.995
1054,11.722,4.428,12.79,2.999,31.939
1055,113.163,3.796,12.457,2.128,131.544
1056,11.872,4.502,13.661,2.974,33.009
1057,49.155,4.201,13.0,2.207,68.563
1058,13.629,4.549,15.063,3.147,36.387
1059,98.427,4.14,13.01,2.44,118.018
1060,12.033,4.649,13.02,3.126,32.829
1061,44.251,4.846,13.023,3.209,65.33
1062,16.449,4.455,12.855,2.931,36.69
1063,99.503,3.919,12.531,2.099,118.052
1064,11.857,4.527,13.965,2.918,33.268
1065,48.329,4.759,14.909,3.29,71.288
1066,31.102,6.272,12.836,3.175,53.385
1067,90.391,3.79,12.371,2.229,108.782
1068,11.653,4.462,16.071,2.985,35.172
1069,44.074,4.513,12.927,3.265,64.78
1070,13.391,4.473,12.767,3.053,33.684
1071,93.152,3.884,12.608,2.084,111.727
1072,13.697,4.503,13.017,3.173,34.39
1073,48.385,4.748,12.915,2.078,68.126
1074,13.954,4.49,14.292,3.079,35.815
1075,100.949,3.874,12.709,2.135,119.667
1076,13.393,4.739,14.955,3.165,36.252
1077,42.7,4.685,13.535,2.473,63.393
1078,13.613,4.554,12.837,2.963,33.967
1079,97.232,3.898,12.623,2.136,115.888
1080,13.088,4.578,14.446,3.131,35.243
1081,44.672,4.666,12.966,3.11,65.414
1082,13.75,6.005,12.896,3.778,36.429
1083,121.218,3.804,12.541,2.137,139.7
1084,11.529,4.441,13.96,3.555,33.484
1085,45.661,4.65,13.028,3.282,66.622
1086,15.637,4.667,14.19,3.068,37.563
1087,96.643,3.79,12.506,2.198,115.136
1088,12.155,4.826,14.628,3.214,34.824
1089,45.33,4.334,13.065,3.093,65.822
1090,13.338,4.483,12.806,3.021,33.648
1091,95.371,3.892,12.536,2.059,113.859
1092,12.579,4.531,13.989,2.938,34.037
1093,45.367,4.427,12.93,3.323,66.047
1094,20.447,4.813,12.928,3.145,41.334
1095,118.723,3.882,12.688,2.28,137.572
1096,12.147,4.534,14.032,3.023,33.736
1097,41.531,4.489,12.991,3.006,62.017
1098,16.747,6.459,16.194,3.989,43.388
1099,119.289,3.887,12.52,2.099,137.794
1100,11.775,4.515,13.216,3.161,32.667
1101,45.242,4.714,13.108,2.438,65.502
1102,11.966,4.656,12.94,3.311,32.873
1103,110.114,3.77,12.595,2.121,128.6
1104,11.821,4.479,13.968,3.16,33.427
1105,44.68,4.608,13.041,3.197,65.527
1106,15.916,4.732,12.827,3.147,36.622
1107,95.395,3.86,12.558,2.235,114.049
1108,12.154,4.707,13.024,3.307,33.192
1109,46.368,4.749,13.144,3.342,67.603
1110,15.7,4.514,13.667,3.279,37.16
1111,97.746,3.9,12.634,2.31,116.589
1112,13.659,4.743,13.826,3.109,35.337
1113,43.852,4.582,13.154,3.367,64.956
1114,16.105,4.373,12.961,10.6,44.039
1115,115.995,4.079,12.511,2.222,134.807
1116,12.402,4.606,13.636,3.128,33.772
1117,44.901,4.432,13.063,3.053,65.448
1118,14.105,4.646,13.178,4.662,36.592
1119,99.867,3.796,13.461,3.245,120.368
1120,13.434,4.637,12.933,3.099,34.102
1121,47.705,4.23,12.998,2.304,67.236
1122,13.896,4.721,12.95,3.231,34.798
1123,101.756,4.281,12.56,2.394,120.99
1124,12.085,4.748,13.702,3.154,33.689
1125,51.783,4.647,13.161,2.323,71.914
1126,12.162,4.568,14.036,3.151,33.917
1127,120.656,6.119,13.022,3.327,143.124
1128,15.796,4.649,13.015,3.043,36.503
1129,44.474,4.512,13.079,3.205,65.271
1130,26.403,9.917,24.691,3.007,64.018
1131,72.623,4.668,13.003,2.146,92.441
1132,13.403,5.164,14.222,3.153,35.941
1133,41.823,5.202,13.603,2.998,63.625
1134,18.441,4.573,12.758,2.858,38.63
1135,102.329,3.828,12.51,2.171,120.838
1136,12.126,4.596,13.643,3.224,33.588
1137,45.65,4.358,12.605,2.094,64.706
1138,13.384,4.525,13.957,3.033,34.899
1139,88.457,3.971,12.578,2.242,107.247
1140,11.676,4.456,14.391,3.161,33.684
1141,43.493,4.642,13.044,2.38,63.559
1142,14.491,4.567,12.842,3.145,35.045
1143,94.743,3.833,12.567,2.163,113.307
1144,11.956,4.469,12.948,2.882,32.255
1145,45.471,4.506,13.323,2.274,65.574
1146,13.795,4.404,12.817,3.053,34.068
1147,117.259,3.783,12.51,2.044,135.597
1148,11.972,4.542,13.188,3.064,32.767
1149,50.379,4.018,12.999,2.721,70.118
1150,13.709,4.577,13.184,3.085,34.556
1151,98.008,3.848,12.636,2.251,116.744
1152,11.765,4.56,13.705,3.11,33.14
1153,49.951,4.517,13.09,3.184,70.743
1154,13.772,4.558,12.663,2.926,33.918
1155,99.919,3.919,12.461,2.147,118.446
1156,12.147,4.405,12.794,2.939,32.285
1157,51.824,4.71,12.987,2.175,71.696
1158,13.711,4.765,12.779,2.947,34.201
1159,91.103,3.816,12.808,2.672,110.399
1160,13.045,4.7,13.598,3.06,34.403
1161,50.612,4.585,12.926,3.025,71.147
1162,13.705,4.122,12.815,2.995,33.637
1163,111.177,3.739,12.481,2.197,129.594
1164,13.562,4.455,12.991,3.051,34.058
1165,51.913,4.633,12.997,3.164,72.707
1166,15.995,4.685,12.811,3.071,36.561
1167,92.633,4.849,12.563,2.119,112.164
1168,11.647,4.46,14.17,3.084,33.361
1169,53.269,4.596,12.989,3.021,73.875
1170,16.312,3.8,12.695,3.003,35.81
1171,98.061,3.736,12.564,2.053,116.415
1172,13.61,4.422,14.378,3.136,35.547
1173,55.912,4.826,12.951,3.177,76.867
1174,18.519,4.554,12.713,3.082,38.869
1175,96.526,4.358,12.442,2.126,115.452
1176,11.826,4.804,13.664,3.263,33.557
1177,64.775,4.585,12.77,2.137,84.267
1178,13.508,4.631,12.696,3.016,33.852
1179,114.357,3.835,12.878,2.358,133.428
1180,13.336,4.579,13.857,2.907,34.679
1181,54.689,4.509,12.903,3.052,75.154
1182,13.546,4.212,12.787,2.913,33.457
1183,106.931,4.968,14.342,3.199,129.441
1184,69.576,11.841,18.699,3.332,103.448
1185,20.557,8.447,23.95,5.142,58.095
1186,126.751,9.525,14.517,3.345,154.137
1187,15.775,7.842,19.383,4.905,47.905
1188,157.289,4.468,12.676,2.91,177.343
1189,22.908,7.621,18.477,4.926,53.932
1190,125.173,8.327,22.458,5.185,161.143
1191,83.468,8.047,28.076,9.429,129.021
